lowerIncisor_50Hz_X,lowerIncisor_50Hz_Y,lowerIncisor_50Hz_Z,lowerJawAnt_50Hz_X,lowerJawAnt_50Hz_Y,lowerJawAnt_50Hz_Z,LowerRtCanine_50Hz_X,LowerRtCanine_50Hz_Y,LowerRtCanine_50Hz_Z,LowerLeftJaw_50Hz_X,LowerLeftJaw_50Hz_Y,LowerLeftJaw_50Hz_Z,LowerLeftMolar_50Hz_X,LowerLeftMolar_50Hz_Y,LowerLeftMolar_50Hz_Z,SkullIncisor_50Hz_X,SkullIncisor_50Hz_Y,SkullIncisor_50Hz_Z,SkullLeftNasal_50Hz_X,SkullLeftNasal_50Hz_Y,SkullLeftNasal_50Hz_Z,SkullRtNasal_50Hz_X,SkullRtNasal_50Hz_Y,SkullRtNasal_50Hz_Z,SkullLeftCanine_50Hz_X,SkullLeftCanine_50Hz_Y,SkullLeftCanine_50Hz_Z,SkullRtCanine_50Hz_X,SkullRtCanine_50Hz_Y,SkullRtCanine_50Hz_Z
9.8053391529,10.5715778019,6.36072580471,10.6344320492,11.3256625773,8.17252066598,10.2942231401,10.1844568453,10.3481746179,14.2638926258,10.0591346786,10.5721392879,13.2777565477,9.18030926544,10.1830692986,9.94990385761,7.49339391685,5.52206838524,10.5727125973,4.95899059066,9.08795488477,9.18763394906,5.68258410738,10.1586189204,12.9684521221,7.40013647882,10.450496427,9.93865342972,8.58755708936,11.4398872281
9.76454587627,10.5055629897,6.39846839686,10.6089624009,11.2678242084,8.19877079307,10.2790883071,10.1442456017,10.3864181838,14.2487355667,10.0248150875,10.5917055389,13.2671358624,9.14318527631,10.2134041211,9.95455328177,7.56884092314,5.52469155046,10.5626561553,5.01911360201,9.08242659022,9.18570055946,5.74266735538,10.1568934461,12.9719981703,7.45043992379,10.4546756054,9.94022204627,8.64102213514,11.4498436232
9.72086693664,10.3999535142,6.44129350427,10.5773068641,11.1785779976,8.22767899558,10.2595688277,10.0774422459,10.4316892175,14.2337962396,9.97049324981,10.6177788027,13.2511371296,9.086232613,10.2513278599,9.95807003263,7.65853982715,5.53018784844,10.5534696662,5.0928289062,9.07716800874,9.18699773714,5.81505299038,10.1534899755,12.9781529018,7.50841407913,10.457374318,9.94335250829,8.70351610386,11.4595559466
9.68423274083,10.2785475581,6.48181781875,10.5472670821,11.0788855271,8.25483794724,10.2393413716,10.000244034,10.473721313,14.2179981551,9.90827205822,10.6446644496,13.2304601986,9.02017853566,10.2904303289,9.95485898275,7.74918492475,5.53931632523,10.5445331093,5.16824942777,9.07213712042,9.18344811242,5.88740372579,10.1506202632,12.979617799,7.5650810845,10.4602319047,9.94519127263,8.76581481408,11.4697194753
9.65828187898,10.1672272413,6.51471349725,10.522049027,10.9889584367,8.27745086838,10.2221184958,9.93096060607,10.5065094805,14.1998750977,9.85111468309,10.6669226892,13.2104835915,8.95818901326,10.3239244381,9.94327706461,7.82906616459,5.55001196969,10.5350288486,5.23457713385,9.06730616852,9.1736236555,5.94835884397,10.1490408721,12.9717043011,7.61479326729,10.46437119,9.94444051983,8.81907711092,11.4802841158
9.63985710716,10.0829714003,6.54007001736,10.5001555278,10.9207348988,8.29606706926,10.2089156248,9.88101358433,10.5322095753,14.1811825613,9.80796584478,10.684140063,13.1952472024,8.91095892168,10.3492470483,9.92639836768,7.8902696673,5.55843579762,10.5228285381,5.28526686757,9.06471936179,9.16213364094,5.99316289282,10.1486327021,12.9556220911,7.65610997183,10.4688675155,9.94151367813,8.85881829693,11.4897335225
9.62113258222,10.0233971703,6.56341773799,10.4783460441,10.8714074009,8.31383319131,10.1975403313,9.84726858632,10.557745406,14.1652892448,9.77771581207,10.6999507429,13.1824928455,8.87800766399,10.3700925361,9.90962013238,7.93351015538,5.56257025621,10.5065681476,5.32078267325,9.06612301261,9.15160607653,6.02679401133,10.1491206908,12.9379082672,7.69091221935,10.47155898,9.93635164505,8.88928779129,11.4974523058
9.59545040474,9.97068047969,6.5898675121,10.454379588,10.8277347143,8.33348358029,10.1838937674,9.81698070038,10.586871241,14.1527008471,9.75048529755,10.7167542938,13.1671564535,8.84830979379,10.3922391328,9.89558027346,7.96863757091,5.56395550422,10.4878759359,5.34788342044,9.06967654449,9.13931382293,6.05938729457,10.1503310619,12.924917171,7.72180586057,10.471635236,9.92750812267,8.91960667493,11.5042972219
9.56326214255,9.91131275102,6.61806937671,10.4285428965,10.7808071689,8.3543728393,10.1654343655,9.7818240363,10.6157760583,14.1405088323,9.71865789326,10.7325619028,13.1484317771,8.81290825981,10.4171169029,9.88194542384,8.00523302428,5.56553368262,10.4699320924,5.37410739501,9.07160352172,9.12235381948,6.09587570335,10.1525139737,12.917339856,7.74973610578,10.4707063633,9.91434608346,8.95352066707,11.5105751769
9.53098129512,9.85072948228,6.64173976415,10.4029272388,10.7352467168,8.37255530102,10.14426678,9.74537605526,10.6372303863,14.1264517063,9.68565744682,10.7432480462,13.1301751039,8.77489766731,10.4399858627,9.8657966456,8.04263128529,5.56864814518,10.4548484268,5.40182638353,9.07110962297,9.10243983255,6.1309879401,10.1561943634,12.9106011089,7.77373590072,10.4709042971,9.89932020035,8.98573470899,11.515726962
9.50314188242,9.80398755819,6.65706079205,10.3786475718,10.7008482034,8.38460577771,10.1250562113,9.7162333197,10.6486729499,14.1106198962,9.66078704012,10.7473688798,13.1141690479,8.7445607835,10.4547047177,9.84866336185,8.07272482208,5.57228233185,10.4432610343,5.42779231286,9.07125476644,9.08357899306,6.15659055166,10.1609522575,12.9001915222,7.79266071045,10.472487184,9.88658773778,9.00985328634,11.5200551993
9.4777037098,9.77331844372,6.66673578727,10.354103585,10.6766751452,8.39133815458,10.1093798051,9.6954996475,10.6549101758,14.0922050174,9.6460751693,10.7483522022,13.0965361649,8.7258337488,10.4606068354,9.83457070404,8.09217293085,5.57443353807,10.4343510973,5.44860743934,9.07429424891,9.06760782259,6.17261078848,10.1648763017,12.8859800464,7.80705670613,10.4738132729,9.87825396488,9.02692810564,11.5244787032
